name,area_name,published_at,salary
Программист PHP / MySQL,Москва,2005-10-14T11:43:14+0400,24967.95
Инженер-программист (автоматизация ФХД предприятий),Москва,2005-11-24T09:22:24+0300,28581.0
Инженер-электронщик сервисного центра,Киев,2005-10-06T11:37:26+0400,13554.03
Менеджер по продажам цифрового печатного оборудования,Москва,2005-10-03T12:59:23+0400,64203.3
JAVA программист,Москва,2005-10-12T16:02:16+0400,35668.5
Программист,Москва,2005-11-28T17:16:05+0300,54303.9
Программист 1С,Россия,2005-11-07T11:08:49+0300,40013.4
Инженер по эксплуатации здания,Москва,2005-11-07T15:29:53+0300,20006.7
"Pre-sale инженер, VoIP",Москва,2005-10-28T10:38:22+0400,28534.8
Помощник регионального представителя по внедрению и развитию систем учета,Самара,2005-09-16T17:26:39+0400,15655.035
Программист PowerBuilder (IK-R- PowerBuilder).,Москва,2005-11-14T11:01:33+0300,54303.9
Программист С++,Уфа,2005-11-02T08:20:41+0300,18577.65
Консультант - аналитик - направление Стратегический Маркетинг,Москва,2005-11-02T09:09:45+0300,35726.25
Менеджер по продажам,Москва,2005-11-02T10:04:34+0300,35726.25
Тестировщик ПО,Москва,2005-11-02T12:31:54+0300,24293.85
Программист Windows,Москва,2005-11-02T13:23:21+0300,42871.5
Программист 1С,Москва,2005-12-01T11:35:38+0300,36020.0
Менеджер WEB-проекта,Москва,2005-11-22T17:54:14+0300,28581.0
Специалист по отчетности,Москва,2005-11-02T14:57:51+0300,32868.15
"Руководитель проекта (бизнес-аналитик).Код вакансии ""ТМ-Н-про""",Москва,2005-12-02T16:26:20+0300,72040.0
Руководитель отдела продаж 1С (Франчайзинг),Москва,2005-11-02T15:26:45+0300,25722.899999999998
Бизнес-аналитик,Москва,2005-11-21T18:31:14+0300,64307.25
Менеджер по продажам,Москва,2005-11-14T15:00:21+0300,28581.0
Специалист по товародвижению,Москва,2005-11-02T16:08:02+0300,24293.85
Web программист,Москва,2005-11-02T16:15:21+0300,22864.8
Начальник отдела прогнозирования и аналитики,Москва,2005-11-02T16:53:42+0300,114324.0
Менеджер проекта (внедрение SAP R\3),Москва,2005-12-19T15:12:53+0300,43224.0
